日付,基準価額
20080401,9920
20080402,10233
20080403,10469
20080404,10539
20080407,10516
20080408,10667
20080409,10650
20080410,10493
20080411,10607
20080414,10564
20080415,10402
20080416,10528
20080417,10697
20080418,10820
20080421,10986
20080422,10995
20080423,11011
20080424,11072
20080425,11130
20080428,11183
20080430,11026
20080501,11142
20080502,11212
20080507,11448
20080508,11308
20080509,11158
20080512,11027
20080513,11189
20080514,11352
20080515,11430
20080516,11541
20080519,11618
20080520,11706
20080521,11459
20080522,11376
20080523,11443
20080526,11190
20080527,11089
20080528,11153
20080529,11275
20080530,11443
20080602,11451
20080603,11349
20080604,11248
20080605,11127
20080606,11324
20080609,11160
20080610,11227
20080611,11012
20080612,10927
20080613,10947
20080616,10962
20080617,11075
20080618,11136
20080619,11084
20080620,10985
20080623,10757
20080624,10730
20080625,10630
20080626,10811
20080627,10605
20080630,10439
20080701,10443
20080702,10282
20080703,10144
20080704,10011
20080707,10005
20080708,10106
20080709,9971
20080710,10069
20080711,10100
20080714,10109
20080715,10051
20080716,9694
20080717,9731
20080718,9990
20080722,10101
20080723,10131
20080724,10317
20080725,10189
20080728,10073
20080729,10023
20080730,10011
20080731,10236
20080801,10236
20080804,10098
20080805,9966
20080806,9901
20080807,10115
20080808,10051
20080811,9931
20080812,9934
20080813,9794
20080814,9763
20080815,9868
20080818,9780
20080819,9655
20080820,9504
20080821,9647
20080822,9531
20080825,9621
20080826,9519
20080827,9417
20080828,9581
20080829,9551
20080901,9505
20080902,9300
20080903,9248
20080904,9071
20080905,8707
20080908,8750
20080909,8880
20080910,8543
20080911,8507
20080912,8306
20080916,7902
20080917,7752
20080918,7407
20080919,7604
20080922,8384
20080924,8081
20080925,8116
20080926,8250
20080929,8111
20080930,7361
20081001,7787
20081002,7746
20081003,7378
20081006,7145
20081007,6297
20081008,6209
20081009,5775
20081010,5718
20081014,6204
20081015,6399
20081016,5784
20081017,5607
20081020,5516
20081021,5686
20081022,5484
20081023,4907
20081024,4771
20081027,4262
20081028,4047
20081029,4593
20081030,4853
20081031,5283
20081104,5528
20081105,5810
20081106,5560
20081107,5102
20081110,5363
20081111,5373
20081112,5148
20081113,4830
20081114,4890
20081117,4873
20081118,4790
20081119,4623
20081120,4466
20081121,4166
20081125,4545
20081126,4552
20081127,4724
20081128,4816
20081201,4812
20081202,4582
20081203,4480
20081204,4475
20081205,4445
20081208,4481
20081209,4775
20081210,4771
20081211,5002
20081212,4977
20081215,4815
20081216,4872
20081217,4923
20081218,4924
20081219,5043
20081222,5007
20081224,4833
20081225,4795
20081226,4821
20081229,4818
20081230,4853
20090105,5144
20090106,5379
20090107,5521
20090108,5272
20090109,5062
20090113,4725
20090114,4711
20090115,4621
20090116,4573
20090119,4687
20090120,4605
20090121,4453
20090122,4412
20090123,4393
20090126,4330
20090127,4419
20090128,4419
20090129,4628
20090130,4550
20090202,4525
20090203,4436
20090204,4506
20090205,4570
20090206,4670
20090209,4898
20090210,4890
20090212,4763
20090213,4704
20090216,4844
20090217,4789
20090218,4563
20090219,4624
20090220,4656
20090223,4474
20090224,4570
20090225,4650
20090226,4704
20090227,4713
20090302,4596
20090303,4403
20090304,4468
20090305,4692
20090306,4584
20090309,4587
20090310,4593
20090311,4771
20090312,4762
20090313,4836
20090316,4976
20090317,5069
20090318,5106
20090319,5063
20090323,5083
20090324,5418
20090325,5429
20090326,5481
20090327,5652
20090330,5510
20090331,5267
20090401,5367
20090402,5485
20090403,5861
20090406,5948
20090407,5945
20090408,5888
20090409,5807
20090410,6073
20090413,6075
20090414,6130
20090415,6053
20090416,6129
20090417,6165
20090420,6074
20090421,5907
20090422,5913
20090423,5867
20090424,5978
20090427,5995
20090428,5808
20090430,6043
20090501,6249
20090507,6711
20090508,6755
20090511,6818
20090512,6699
20090513,6589
20090514,6438
20090515,6408
20090518,6344
20090519,6689
20090520,6811
20090521,6784
20090522,6667
20090525,6723
20090526,6752
20090527,6728
20090528,6872
20090529,7002
20090601,7013
20090602,7363
20090603,7286
20090604,7180
20090605,7225
20090608,7407
20090609,7266
20090610,7167
20090611,7392
20090612,7408
20090615,7401
20090616,7145
20090617,7017
20090618,6867
20090619,6867
20090622,6884
20090623,6689
20090624,6627
20090625,6794
20090626,6890
20090629,6954
20090630,7023
20090701,7016
20090702,7151
20090703,7009
20090706,7012
20090707,6863
20090708,6747
20090709,6561
20090710,6626
20090713,6556
20090714,6474
20090715,6654
20090716,6954
20090717,6962
20090721,7291
20090722,7251
20090723,7237
20090724,7469
20090727,7495
20090728,7586
20090729,7577
20090730,7490
20090731,7622
20090803,7678
20090804,7900
20090805,7863
20090806,7798
20090807,7817
20090810,7939
20090811,7912
20090812,7766
20090813,7743
20090814,7833
20090817,7699
20090818,7438
20090819,7503
20090820,7446
20090821,7551
20090824,7682
20090825,7749
20090826,7712
20090827,7668
20090828,7612
20090831,7556
20090901,7481
20090902,7442
20090903,7347
20090904,7487
20090907,7624
20090908,7705
20090909,7803
20090910,7767
20090911,7808
20090914,7745
20090915,7732
20090916,7813
20090917,7993
20090918,8035
20090924,8038
20090925,7897
20090928,7736
20090929,7827
20090930,7905
20091001,7903
20091002,7805
20091005,7775
20091006,7799
20091007,7891
20091008,7893
20091009,8011
20091013,8186
20091014,8198
20091015,8385
20091016,8514
20091019,8420
20091020,8506
20091021,8446
20091022,8460
20091023,8462
20091026,8539
20091027,8502
20091028,8293
20091029,7930
20091030,8112
20091102,7855
20091104,7819
20091105,8077
20091106,8107
20091109,8094
20091110,8295
20091111,8281
20091112,8399
20091113,8299
20091116,8269
20091117,8416
20091118,8414
20091119,8393
20091120,8283
20091124,8325
20091125,8251
20091126,8216
20091127,7933
20091130,7848
20091201,7897
20091202,8126
20091203,8275
20091204,8333
20091207,8490
20091208,8390
20091209,8211
20091210,8150
20091211,8206
20091214,8290
20091215,8339
20091216,8380
20091217,8385
20091218,8178
20091221,8268
20091222,8258
20091224,8512
20091225,8566
20091228,8582
20091229,8629
20091230,8663
20100104,8826
20100105,8939
20100106,8951
20100107,9104
20100108,9112
20100112,9092
20100113,8923
20100114,8883
20100115,8889
20100118,8785
20100119,8822
20100120,8860
20100121,8737
20100122,8468
20100125,8299
20100126,8333
20100127,8071
20100128,8048
20100129,8079
20100201,8085
20100202,8183
20100203,8189
20100204,8297
20100205,7934
20100208,7689
20100209,7653
20100210,7860
20100212,7964
20100215,7964
20100216,7975
20100217,8092
20100218,8250
20100219,8293
20100222,8239
20100223,8260
20100224,8112
20100225,8073
20100226,7938
20100301,7996
20100302,8129
20100303,8162
20100304,8205
20100305,8240
20100308,8462
20100309,8517
