日付,基準価額
20080109,10000
20080110,10014
20080111,10025
20080115,10026
20080116,10045
20080117,10039
20080118,10042
20080121,10056
20080122,10078
20080123,10072
20080124,10047
20080125,10001
20080128,10038
20080129,10009
20080130,10027
20080131,10022
20080201,10028
20080204,10008
20080205,10003
20080206,10040
20080207,10029
20080208,10031
20080212,10040
20080213,10030
20080214,10010
20080215,10014
20080218,10015
20080219,10009
20080220,10028
20080221,10000
20080222,10017
20080225,10000
20080226,10005
20080227,10008
20080228,10031
20080229,10068
20080303,10079
20080304,10065
20080305,10076
20080306,10084
20080307,10087
20080310,10097
20080311,10096
20080312,10086
20080313,10101
20080314,10100
20080317,10094
20080318,10079
20080319,10097
20080321,10101
20080324,10107
20080325,10111
20080326,10103
20080327,10107
20080328,10106
20080331,10101
20080401,10066
20080402,10058
20080403,10066
20080404,10082
20080407,10078
20080408,10086
20080409,10077
20080410,10082
20080411,10057
20080414,10075
20080415,10070
20080416,10061
20080417,10039
20080418,10028
20080421,10004
20080422,9994
20080423,10005
20080424,9977
20080425,9907
20080428,9908
20080430,9937
20080501,9948
20080502,9923
20080507,9914
20080508,9922
20080509,9960
20080512,9947
20080513,9944
20080514,9897
20080515,9896
20080516,9881
20080519,9895
20080520,9910
20080521,9927
20080522,9902
20080523,9859
20080526,9859
20080527,9850
20080528,9868
20080529,9843
20080530,9858
20080602,9835
20080603,9886
20080604,9863
20080605,9884
20080606,9851
20080609,9887
20080610,9837
20080611,9813
20080612,9831
20080613,9797
20080616,9800
20080617,9822
20080618,9853
20080619,9841
20080620,9862
20080623,9889
20080624,9903
20080625,9918
20080626,9936
20080627,9954
20080630,9963
20080701,9923
20080702,9930
20080703,9926
20080704,9939
20080707,9912
20080708,9956
20080709,9965
20080710,9983
20080711,9972
20080714,9979
20080715,9994
20080716,9986
20080717,9974
20080718,9983
20080722,9955
20080723,9943
20080724,9934
20080725,9972
20080728,9973
20080729,9987
20080730,9994
20080731,9993
20080801,10007
20080804,10023
20080805,10007
20080806,10026
20080807,10027
20080808,10051
20080811,10056
20080812,10061
20080813,10064
20080814,10071
20080815,10056
20080818,10060
20080819,10063
20080820,10056
20080821,10070
20080822,10053
20080825,10062
20080826,10069
20080827,10055
20080828,10066
20080829,10080
20080901,10049
20080902,10064
20080903,10076
20080904,10044
20080905,10074
20080908,10036
20080909,10051
20080910,10048
20080911,10049
20080912,10036
20080916,10075
20080917,10054
20080918,10023
20080919,10018
20080922,10026
20080924,10034
20080925,10037
20080926,10037
20080929,10026
20080930,10042
20081001,10028
20081002,10033
20081003,10065
20081006,10112
20081007,10079
20081008,10102
20081009,10056
20081010,10032
20081014,9980
20081015,9991
20081016,9997
20081017,9995
20081020,9993
20081021,9984
20081022,10011
20081023,10032
20081024,10042
20081027,10053
20081028,10030
20081029,10062
20081030,10070
20081031,10084
20081104,10069
20081105,10050
20081106,10068
20081107,10059
20081110,10050
20081111,10069
20081112,10065
20081113,10073
20081114,10076
20081117,10079
20081118,10072
20081119,10081
20081120,10101
20081121,10113
20081125,10102
20081126,10112
20081127,10115
20081128,10112
20081201,10112
20081202,10140
20081203,10131
20081204,10129
20081205,10128
20081208,10117
20081209,10111
20081210,10101
20081211,10101
20081212,10123
20081215,10125
20081216,10134
20081217,10171
20081218,10184
20081219,10207
20081222,10228
20081224,10241
20081225,10238
20081226,10250
20081229,10258
20081230,10280
20090105,10266
20090106,10234
20090107,10234
20090108,10209
20090109,10223
20090113,10255
20090114,10241
20090115,10260
20090116,10254
20090119,10243
20090120,10259
20090121,10252
20090122,10249
20090123,10250
20090126,10248
20090127,10225
20090128,10227
20090129,10225
20090130,10217
20090202,10222
20090203,10215
20090204,10187
20090205,10195
20090206,10194
20090209,10205
20090210,10206
20090212,10237
20090213,10240
20090216,10224
20090217,10229
20090218,10240
20090219,10235
20090220,10228
20090223,10235
20090224,10233
20090225,10213
20090226,10227
20090227,10230
20090302,10220
20090303,10219
20090304,10218
20090305,10208
20090306,10215
20090309,10209
20090310,10209
20090311,10206
20090312,10213
20090313,10211
20090316,10218
20090317,10204
20090318,10206
20090319,10231
20090323,10231
20090324,10237
20090325,10225
20090326,10206
20090327,10205
20090330,10205
20090331,10196
20090401,10199
20090402,10183
20090403,10163
20090406,10137
20090407,10149
20090408,10136
20090409,10122
20090410,10131
20090413,10132
20090414,10127
20090415,10146
20090416,10136
20090417,10142
20090420,10132
20090421,10144
20090422,10159
20090423,10160
20090424,10158
20090427,10149
20090428,10178
20090430,10175
20090501,10190
20090507,10179
20090508,10165
20090511,10161
20090512,10160
20090513,10152
20090514,10168
20090515,10171
20090518,10188
20090519,10176
20090520,10175
20090521,10173
20090522,10172
20090525,10165
20090526,10170
20090527,10158
20090528,10158
20090529,10155
20090601,10155
20090602,10141
20090603,10142
20090604,10164
20090605,10167
20090608,10151
20090609,10148
20090610,10142
20090611,10133
20090612,10149
20090615,10152
20090616,10173
20090617,10175
20090618,10184
20090619,10193
20090622,10187
20090623,10211
20090624,10228
