日付,基準価額
20080401,9995
20080402,10088
20080403,10137
20080404,10167
20080407,10138
20080408,10184
20080409,10211
20080410,10133
20080411,10197
20080414,10187
20080415,10193
20080416,10231
20080417,10281
20080418,10328
20080421,10394
20080422,10360
20080423,10387
20080424,10366
20080425,10361
20080428,10381
20080430,10278
20080501,10315
20080502,10333
20080507,10411
20080508,10331
20080509,10209
20080512,10127
20080513,10298
20080514,10374
20080515,10374
20080516,10375
20080519,10393
20080520,10386
20080521,10339
20080522,10289
20080523,10374
20080526,10272
20080527,10268
20080528,10289
20080529,10385
20080530,10488
20080602,10458
20080603,10333
20080604,10364
20080605,10357
20080606,10386
20080609,10246
20080610,10416
20080611,10332
20080612,10306
20080613,10367
20080616,10374
20080617,10414
20080618,10464
20080619,10465
20080620,10482
20080623,10463
20080624,10441
20080625,10457
20080626,10535
20080627,10440
20080630,10378
20080701,10381
20080702,10349
20080703,10367
20080704,10431
20080707,10486
20080708,10556
20080709,10608
20080710,10640
20080711,10673
20080714,10701
20080715,10685
20080716,10578
20080717,10660
20080718,10853
20080722,10876
20080723,10949
20080724,10940
20080725,10937
20080728,11023
20080729,11032
20080730,11095
20080731,11130
20080801,11155
20080804,11190
20080805,11268
20080806,11223
20080807,11296
20080808,11239
20080811,11058
20080812,11062
20080813,10972
20080814,10987
20080815,11015
20080818,10974
20080819,11063
20080820,11031
20080821,11020
20080822,10991
20080825,11076
20080826,10971
20080827,10898
20080828,10967
20080829,10903
20080901,10848
20080902,10755
20080903,10753
20080904,10623
20080905,10338
20080908,10481
20080909,10369
20080910,10286
20080911,10288
20080912,10159
20080916,10005
20080917,10184
20080918,9905
20080919,10099
20080922,10379
20080924,10279
20080925,10285
20080926,10344
20080929,10366
20080930,9832
20081001,10102
20081002,10065
20081003,9749
20081006,9682
20081007,9040
20081008,8955
20081009,8739
20081010,8563
20081014,8879
20081015,8921
20081016,8451
20081017,8451
20081020,8517
20081021,8442
20081022,8071
20081023,7474
20081024,7514
20081027,7188
20081028,7083
20081029,7661
20081030,8016
20081031,7988
20081104,8052
20081105,8358
20081106,8241
20081107,7933
20081110,8133
20081111,7963
20081112,7815
20081113,7532
20081114,7677
20081117,7714
20081118,7638
20081119,7563
20081120,7451
20081121,7227
20081125,7694
20081126,7687
20081127,7824
20081128,7846
20081201,7776
20081202,7545
20081203,7540
20081204,7589
20081205,7648
20081208,7648
20081209,7761
20081210,7829
20081211,7890
20081212,7924
20081215,7853
20081216,7872
20081217,7808
20081218,7870
20081219,8131
20081222,8115
20081224,8179
20081225,8129
20081226,8150
20081229,8138
20081230,8195
20090105,8318
20090106,8441
20090107,8574
20090108,8396
20090109,8204
20090113,7795
20090114,7759
20090115,7653
20090116,7758
20090119,7890
20090120,7742
20090121,7639
20090122,7595
20090123,7635
20090126,7548
20090127,7682
20090128,7626
20090129,7824
20090130,7651
20090202,7538
20090203,7478
20090204,7486
20090205,7465
20090206,7629
20090209,7764
20090210,7773
20090212,7523
20090213,7453
20090216,7581
20090217,7471
20090218,7312
20090219,7437
20090220,7504
20090223,7349
20090224,7518
20090225,7726
20090226,7769
20090227,7804
20090302,7659
20090303,7493
20090304,7589
20090305,7741
20090306,7580
20090309,7584
20090310,7609
20090311,7748
20090312,7734
20090313,7862
20090316,7969
20090317,8086
20090318,8068
20090319,7945
20090323,8082
20090324,8265
20090325,8341
20090326,8317
20090327,8375
20090330,8198
20090331,8090
20090401,8221
20090402,8333
20090403,8688
20090406,8781
20090407,8791
20090408,8722
20090409,8721
20090410,8916
20090413,8884
20090414,8909
20090415,8777
20090416,8823
20090417,8879
20090420,8779
20090421,8544
20090422,8625
20090423,8597
20090424,8591
20090427,8621
20090428,8457
20090430,8759
20090501,8888
20090507,9041
20090508,9146
20090511,9159
20090512,9043
20090513,8884
20090514,8774
20090515,8817
20090518,8674
20090519,8877
20090520,8960
20090521,8902
20090522,8812
20090525,8889
20090526,8930
20090527,8942
20090528,8984
20090529,9026
20090601,9026
20090602,9213
20090603,9167
20090604,9122
20090605,9216
20090608,9327
20090609,9235
20090610,9166
20090611,9259
20090612,9286
20090615,9316
20090616,9131
20090617,9039
20090618,8967
20090619,9066
20090622,9029
20090623,8873
20090624,8915
20090625,9052
20090626,9080
20090629,9104
20090630,9191
20090701,9245
20090702,9363
20090703,9237
20090706,9231
20090707,9122
20090708,9029
20090709,8823
20090710,8926
20090713,8862
20090714,8882
20090715,8994
20090716,9162
20090717,9117
20090721,9247
20090722,9236
20090723,9296
20090724,9465
20090727,9461
20090728,9501
20090729,9422
20090730,9415
20090731,9533
20090803,9519
20090804,9691
20090805,9679
20090806,9636
20090807,9638
20090810,9783
20090811,9691
20090812,9537
20090813,9610
20090814,9616
20090817,9489
20090818,9436
20090819,9475
20090820,9444
20090821,9466
20090824,9596
20090825,9561
20090826,9543
20090827,9455
20090828,9433
20090831,9366
20090901,9369
20090902,9274
20090903,9201
20090904,9329
20090907,9427
20090908,9460
20090909,9477
20090910,9445
20090911,9381
20090914,9300
20090915,9334
20090916,9375
20090917,9487
20090918,9501
20090924,9488
20090925,9424
20090928,9244
20090929,9374
20090930,9358
20091001,9355
20091002,9246
20091005,9335
20091006,9358
20091007,9396
20091008,9336
20091009,9429
20091013,9547
20091014,9568
20091015,9651
20091016,9773
20091019,9715
20091020,9729
20091021,9693
20091022,9769
20091023,9771
20091026,9821
20091027,9706
20091028,9590
20091029,9366
20091030,9591
20091102,9360
20091104,9349
20091105,9512
20091106,9525
20091109,9486
20091110,9615
20091111,9553
20091112,9637
20091113,9628
20091116,9575
20091117,9612
20091118,9584
20091119,9610
20091120,9497
20091124,9523
20091125,9486
20091126,9449
20091127,9212
20091130,9266
20091201,9205
20091202,9354
20091203,9472
20091204,9527
20091207,9711
20091208,9585
20091209,9402
20091210,9359
20091211,9403
20091214,9427
20091215,9450
20091216,9497
20091217,9538
20091218,9357
20091221,9475
20091222,9509
20091224,9630
20091225,9654
20091228,9673
20091229,9661
20091230,9719
20100104,9832
20100105,9883
20100106,9808
20100107,9956
20100108,10021
20100112,10026
20100113,9906
20100114,9956
20100115,9927
20100118,9865
20100119,9887
20100120,9926
20100121,9799
20100122,9632
20100125,9589
20100126,9657
20100127,9528
20100128,9559
20100129,9501
20100201,9591
20100202,9700
20100203,9696
20100204,9710
20100205,9438
20100208,9353
20100209,9366
20100210,9484
20100212,9506
20100215,9532
20100216,9520
20100217,9630
20100218,9715
20100219,9784
20100222,9786
20100223,9743
20100224,9595
20100225,9617
20100226,9499
20100301,9547
20100302,9601
20100303,9583
20100304,9611
20100305,9693
20100308,9865
20100309,9844
20100310,9832
20100311,9926
20100312,9931
20100315,9989
20100316,9913
20100317,9992
20100318,10035
20100319,9991
20100323,9927
20100324,9980
20100325,10066
20100326,10125
20100329,10158
20100330,10183
20100331,10282
20100401,10402
20100402,10507
20100405,10572
20100406,10584
20100407,10516
20100408,10446
20100409,10472
20100412,10484
20100413,10507
20100414,10568
20100415,10617
20100416,10538
20100419,10396
20100420,10414
20100421,10502
20100422,10505
20100423,10500
20100426,10652
20100427,10634
20100428,10435
20100430,10607
20100506,10158
20100507,9740
20100510,9873
20100511,10193
20100512,10147
20100513,10275
20100514,10236
20100517,10027
20100518,10021
20100519,9899
20100520,9810
20100521,9496
20100524,9598
20100525,9587
20100526,9513
20100527,9568
20100528,9820
20100531,9842
20100601,9793
20100602,9790
20100603,9921
20100604,9992
20100607,9619
20100608,9679
20100609,9682
20100610,9730
20100611,9894
20100614,9895
20100615,9949
20100616,9959
20100617,9949
20100618,9930
20100621,9968
20100622,10052
20100623,9956
20100624,9860
20100625,9794
20100628,9775
20100629,9777
20100630,9596
20100701,9615
20100702,9594
20100705,9627
20100706,9575
20100707,9680
20100708,9765
20100709,9864
20100712,9915
20100713,9875
20100714,9948
20100715,9860
20100716,9798
20100720,9672
20100721,9748
20100722,9681
20100723,9822
20100726,9890
20100727,9849
20100728,9956
20100729,9926
20100730,9887
20100802,9928
20100803,9970
20100804,9873
20100805,9949
20100806,9924
20100809,9906
20100810,9967
20100811,9875
20100812,9762
20100813,9899
20100816,9821
20100817,9817
20100818,9919
20100819,9949
20100820,9896
20100823,9920
20100824,9822
20100825,9723
20100826,9776
20100827,9730
20100830,9935
20100831,9728
20100901,9676
20100902,9771
20100903,9794
20100906,9852
20100907,9797
20100908,9715
20100909,9761
20100910,9810
20100913,9862
20100914,9808
20100915,9913
20100916,10080
20100917,10101
20100921,10103
20100922,10075
20100924,10041
20100927,10085
20100928,10117
20100929,10115
20100930,10119
20101001,10123
20101004,10153
20101005,10110
20101006,10194
20101007,10200
20101008,10110
20101012,10088
20101013,10058
20101014,10100
20101015,10076
20101018,10016
20101019,10040
20101020,9919
20101021,9963
20101022,9961
20101025,9982
20101026,9930
20101027,9975
20101028,9945
20101029,9880
20101101,9886
20101102,9913
20101104,10069
20101105,10089
20101108,10114
20101109,10018
20101110,10080
20101111,10118
20101112,10077
20101115,10037
20101116,10101
20101117,10015
20101118,10025
20101119,10153
