日付,基準価額
20090821,5644
20090824,5774
20090825,5791
20090826,5825
20090827,5861
20090828,5908
20090831,5876
20090901,5840
20090902,5591
20090903,5495
20090904,5594
20090907,5705
20090908,5754
20090909,5847
20090910,5930
20090911,5956
20090914,5888
20090915,6020
20090916,6084
20090917,6277
20090918,6289
20090924,6193
20090925,6005
20090928,5867
20090929,6122
20090930,6078
20091001,6049
20091002,5824
20091005,5772
20091006,5841
20091007,5865
20091008,5892
20091009,5987
20091013,6067
20091014,6022
20091015,6183
20091016,6271
20091019,6160
20091020,6259
20091021,6206
20091022,6200
20091023,6278
20091026,6252
20091027,6214
20091028,6068
20091029,5777
20091030,6018
20091102,5877
20091104,5884
20091105,5894
20091106,5947
20091109,5901
20091110,6106
20091111,6051
20091112,6221
20091113,6168
20091116,6177
20091117,6281
20091118,6193
20091119,6274
20091120,6140
20091124,6124
20091125,6044
20091126,5988
20091127,5815
20091130,5763
20091201,5862
20091202,5999
20091203,6119
20091204,6082
20091207,6287
20091208,6140
20091209,6022
20091210,6015
20091211,5996
20091214,6062
20091215,6126
20091216,6146
20091217,6189
20091218,6102
20091221,6207
20091222,6290
20091224,6443
20091225,6503
20091228,6515
20091229,6530
20091230,6525
20100104,6571
20100105,6538
20100106,6519
20100107,6561
20100108,6650
20100112,6602
20100113,6434
20100114,6543
20100115,6516
20100118,6430
20100119,6447
20100120,6537
20100121,6466
20100122,6247
20100125,6116
20100126,6168
20100127,6068
20100128,6119
20100129,6069
20100201,6074
20100202,6178
20100203,6255
20100204,6205
20100205,5949
20100208,5952
20100209,5833
20100210,5884
20100212,5920
20100215,5971
20100216,5953
20100217,6098
20100218,6177
20100219,6270
20100222,6289
20100223,6274
20100224,6173
20100225,6216
20100226,6145
20100301,6145
20100302,6206
20100303,6218
20100304,6201
20100305,6288
20100308,6491
20100309,6513
20100310,6514
20100311,6548
20100312,6577
20100315,6626
20100316,6548
20100317,6681
20100318,6738
20100319,6736
20100323,6699
20100324,6688
20100325,6791
20100326,6845
20100329,6850
20100330,6876
20100331,6942
20100401,6922
20100402,6978
20100405,7020
20100406,7106
20100407,7179
20100408,7039
20100409,7040
20100412,7135
20100413,7081
20100414,7223
20100415,7249
20100416,7096
20100419,6902
20100420,6926
20100421,7049
20100422,7130
20100423,7200
20100426,7355
20100427,7360
20100428,7101
20100430,7390
20100506,7076
20100507,6675
20100510,6615
20100511,7021
20100512,7000
20100513,7138
20100514,7043
20100517,6766
20100518,6766
20100519,6571
20100520,6510
20100521,6125
20100524,6242
20100525,6158
20100526,6136
20100527,6125
20100528,6520
20100531,6494
20100601,6464
20100602,6405
20100603,6578
20100604,6636
20100607,6191
20100608,6172
20100609,6218
20100610,6281
20100611,6565
20100614,6633
20100615,6703
20100616,6828
20100617,6762
20100618,6741
20100621,6726
20100622,6733
20100623,6561
20100624,6525
20100625,6364
20100628,6462
20100629,6409
20100630,6159
20100701,6086
20100702,6046
20100705,5972
20100706,5913
20100707,5897
20100708,6155
