日付,基準価額
20180424,13805
20180425,13859
20180426,13766
20180427,13776
20180501,13960
20180502,13970
20180507,13546
20180508,13528
20180509,13606
20180510,13762
20180511,13879
20180514,13920
20180515,14051
20180516,13939
20180517,14002
20180518,13891
20180521,13840
20180522,13856
20180523,13901
20180524,13552
20180525,13497
20180528,13471
20180529,13354
20180530,13137
20180531,13098
20180601,13197
20180604,13351
20180605,13572
20180606,13453
20180607,13540
20180608,13472
20180611,13319
20180612,13401
20180613,13421
20180614,13331
20180615,13226
20180618,13165
20180619,12996
20180620,12790
20180621,12940
20180622,12745
20180625,12776
20180626,12656
20180627,12628
20180628,12469
20180629,12535
20180702,12823
20180703,12753
20180704,12677
20180705,12687
20180706,12731
20180709,12777
20180710,13029
20180711,13071
20180712,13022
20180713,13191
20180717,13140
20180718,13222
20180719,13189
20180720,13082
20180723,13084
20180724,13156
20180725,13328
20180726,13405
20180727,13387
20180730,13462
20180731,13498
20180801,13594
20180802,13556
20180803,13368
20180806,13403
20180807,13370
20180808,13490
20180809,13383
20180810,13328
20180813,13020
20180814,12887
20180815,13041
20180816,12702
20180817,12728
20180820,12704
20180821,12730
20180822,12810
20180823,12972
20180824,12962
20180827,12968
20180828,13187
20180829,13201
20180830,13316
20180831,13029
20180903,13044
20180904,12961
20180905,12907
20180906,12731
20180907,12703
20180910,12752
20180911,12687
20180912,12625
20180913,12641
20180914,12856
20180918,12860
20180919,13000
20180920,13171
20180921,13263
20180925,13337
20180926,13366
20180927,13443
20180928,13602
20181001,13652
20181002,13657
20181003,13533
20181004,13654
20181005,13369
20181009,13174
20181010,13249
20181011,13005
20181012,12675
20181015,12880
20181016,12824
20181017,13074
20181018,13063
20181019,12826
20181022,12862
20181023,12989
20181024,12754
20181025,12565
20181026,12652
20181029,12549
20181030,12488
20181031,12688
20181101,12794
20181102,13008
20181105,13241
20181106,13256
20181107,13228
20181108,13391
20181109,13309
20181112,13092
20181113,12940
20181114,12945
20181115,12928
20181116,13062
20181119,13065
20181120,13065
20181121,12911
20181122,12950
20181126,12811
20181127,12857
20181128,12980
20181129,13177
20181130,13197
20181203,13191
20181204,13431
20181205,13269
20181206,13176
20181207,12935
20181210,12853
20181211,12674
20181212,12750
20181213,12912
20181214,13017
20181217,12856
20181218,12729
20181219,12644
20181220,12637
20181221,12485
20181225,12195
20181226,12228
20181227,12319
20181228,12332
20190104,12108
20190107,12418
20190108,12538
20190109,12561
20190110,12709
20190111,12757
20190115,12709
20190116,12803
20190117,12917
20190118,12961
20190121,13080
20190122,13096
20190123,12973
20190124,13072
20190125,13163
20190128,13225
20190129,13111
20190130,13166
20190131,13248
20190201,13382
20190204,13445
20190205,13481
20190206,13522
20190207,13394
20190208,13301
20190212,13288
20190213,13421
20190214,13394
20190215,13365
20190218,13328
20190219,13365
20190220,13421
20190221,13510
20190222,13540
20190225,13655
20190226,13757
20190227,13678
20190228,13652
20190301,13613
20190304,13652
20190305,13643
20190306,13649
20190307,13598
20190308,13456
20190311,13261
20190312,13494
20190313,13579
20190314,13598
20190315,13643
20190318,13720
20190319,13856
20190320,13910
20190322,13729
20190325,13392
20190326,13323
20190327,13405
20190328,13241
20190329,13377
20190401,13506
20190402,13770
20190403,13760
20190404,13828
20190405,13916
20190408,13923
20190409,13985
20190410,13985
20190411,14001
20190412,13915
20190415,13940
20190416,13932
20190417,14074
20190418,14077
20190419,14055
20190422,14048
20190423,13973
20190424,14003
20190425,13914
20190426,13799
20190507,13486
20190508,13342
20190509,13251
