日付,基準価額
20080109,10000
20080110,9840
20080111,9677
20080115,9481
20080116,9144
20080117,9340
20080118,9416
20080121,9083
20080122,8565
20080123,8775
20080124,9018
20080125,9446
20080128,9077
20080129,9329
20080130,9270
20080131,9454
20080201,9386
20080204,9583
20080205,9517
20080206,9115
20080207,9162
20080208,9036
20080212,9028
20080213,9026
20080214,9355
20080215,9371
20080218,9357
20080219,9444
20080220,9145
20080221,9371
20080222,9278
20080225,9514
20080226,9465
20080227,9580
20080228,9498
20080229,9297
20080303,8924
20080304,8884
20080305,8875
20080306,9040
20080307,8760
20080310,8595
20080311,8667
20080312,8810
20080313,8533
20080314,8379
20080317,8068
20080318,8167
20080319,8397
20080321,8564
20080324,8593
20080325,8725
20080326,8769
20080327,8688
20080328,8812
20080331,8596
20080401,8717
20080402,9083
20080403,9207
20080404,9129
20080407,9249
20080408,9087
20080409,8945
20080410,8839
20080411,9056
20080414,8827
20080415,8895
20080416,9010
20080417,9162
20080418,9236
20080421,9429
20080422,9287
20080423,9309
20080424,9261
20080425,9486
20080428,9644
20080430,9624
20080501,9536
20080502,9755
20080507,9870
20080508,9724
20080509,9503
20080512,9509
20080513,9633
20080514,9725
20080515,9864
20080516,9888
20080519,9945
20080520,9915
20080521,9704
20080522,9772
20080523,9750
20080526,9521
20080527,9690
20080528,9552
20080529,9780
20080530,9971
20080602,10093
20080603,9969
20080604,10132
20080605,10087
20080606,10115
20080609,9898
20080610,9795
20080611,9843
20080612,9653
20080613,9713
20080616,9924
20080617,9929
20080618,9982
20080619,9741
20080620,9607
20080623,9544
20080624,9554
20080625,9538
20080626,9529
20080627,9359
20080630,9354
20080701,9353
20080702,9217
20080703,9193
20080704,9196
20080707,9302
20080708,9092
20080709,9109
20080710,9143
20080711,9110
20080714,9071
20080715,8876
20080716,8850
20080717,8951
20080718,8870
20080722,9123
20080723,9235
20080724,9440
20080725,9196
20080728,9215
20080729,9077
20080730,9230
20080731,9233
20080801,9014
20080804,8842
20080805,8838
20080806,9046
20080807,8916
20080808,8924
20080811,9063
20080812,9005
20080813,8828
20080814,8775
20080815,8836
20080818,8950
20080819,8751
20080820,8737
20080821,8673
20080822,8616
20080825,8776
20080826,8707
20080827,8667
20080828,8637
20080829,8889
20080901,8716
20080902,8587
20080903,8645
20080904,8514
20080905,8293
20080908,8617
20080909,8438
20080910,8444
20080911,8234
20080912,8338
20080916,7914
20080917,7943
20080918,7770
20080919,8138
20080922,8275
20080924,8275
20080925,8236
20080926,8197
20080929,8054
20080930,7760
20081001,7862
20081002,7685
20081003,7479
20081006,7130
20081007,6980
20081008,6411
20081009,6463
20081010,5992
20081014,6834
20081015,6816
20081016,6160
20081017,6384
20081020,6622
20081021,6823
20081022,6344
20081023,6218
20081024,5751
20081027,5325
20081028,5599
20081029,5936
20081030,6421
20081031,6179
20081104,6499
20081105,6902
20081106,6486
20081107,6276
20081110,6540
20081111,6344
20081112,6244
20081113,5974
20081114,6044
20081117,6066
20081118,5959
20081119,5901
20081120,5579
20081121,5728
20081125,5929
20081126,5825
20081127,5915
20081128,5955
20081201,5903
20081202,5617
20081203,5702
20081204,5626
20081205,5606
20081208,5796
20081209,5835
20081210,5953
20081211,6056
20081212,5801
20081215,6037
20081216,5909
20081217,5983
20081218,5982
20081219,5951
20081222,6053
20081224,5899
20081225,5972
20081226,6045
20081229,6101
20081230,6135
20090105,6252
20090106,6253
20090107,6340
20090108,6145
20090109,6103
20090113,5810
20090114,5843
20090115,5682
20090116,5836
20090119,5835
20090120,5745
20090121,5617
20090122,5679
20090123,5519
20090126,5480
20090127,5748
20090128,5740
20090129,5840
20090130,5666
20090202,5550
20090203,5520
20090204,5655
20090205,5609
20090206,5644
20090209,5556
20090210,5554
20090212,5424
20090213,5455
20090216,5494
20090217,5398
20090218,5347
20090219,5362
20090220,5277
20090223,5245
20090224,5215
20090225,5322
20090226,5300
20090227,5405
20090302,5241
20090303,5186
20090304,5222
20090305,5290
20090306,5147
20090309,5068
20090310,5021
20090311,5156
20090312,5000
20090313,5172
20090316,5295
20090317,5432
20090318,5459
20090319,5460
20090323,5651
20090324,5802
20090325,5843
20090326,5974
20090327,5952
20090330,5697
20090331,5584
20090401,5730
20090402,5966
20090403,5998
20090406,5998
20090407,6008
20090408,5883
20090409,6073
20090410,6103
20090413,6122
20090414,6083
20090415,6023
20090416,6001
20090417,6100
20090420,6117
20090421,5991
20090422,5985
20090423,6053
20090424,5987
20090427,6007
20090428,5854
20090430,6040
20090501,6105
20090507,6383
20090508,6451
20090511,6486
20090512,6378
20090513,6400
20090514,6214
20090515,6350
20090518,6191
20090519,6337
20090520,6382
20090521,6348
20090522,6308
20090525,6358
20090526,6364
20090527,6429
20090528,6448
20090529,6467
20090601,6572
20090602,6579
20090603,6586
20090604,6560
20090605,6601
20090608,6673
20090609,6611
20090610,6745
20090611,6772
20090612,6842
20090615,6815
20090616,6584
20090617,6642
20090618,6558
20090619,6615
20090622,6641
20090623,6490
20090624,6496
20090625,6624
20090626,6676
20090629,6594
20090630,6693
20090701,6685
20090702,6655
20090703,6630
20090706,6571
20090707,6548
20090708,6399
20090709,6294
20090710,6283
20090713,6141
20090714,6256
20090715,6242
20090716,6284
20090717,6326
20090721,6493
20090722,6530
20090723,6545
20090724,6631
20090727,6685
20090728,6700
20090729,6703
20090730,6750
20090731,6848
20090803,6896
20090804,6906
20090805,6838
20090806,6895
20090807,6891
20090810,6980
20090811,7009
20090812,6913
20090813,6973
20090814,7010
20090817,6838
20090818,6839
20090819,6791
20090820,6901
20090821,6822
20090824,6985
20090825,6949
20090826,7026
20090827,6943
20090828,6979
20090831,6953
20090901,6975
20090902,6839
20090903,6788
20090904,6738
20090907,6802
20090908,6815
20090909,6768
20090910,6901
20090911,6842
20090914,6725
20090915,6714
20090916,6706
20090917,6764
20090918,6764
20090924,6840
20090925,6687
20090928,6542
20090929,6551
20090930,6595
20091001,6494
20091002,6339
20091005,6284
20091006,6315
20091007,6418
20091008,6434
20091009,6506
20091013,6529
20091014,6480
20091015,6553
20091016,6530
20091019,6563
20091020,6618
20091021,6620
20091022,6584
20091023,6536
20091026,6599
20091027,6489
20091028,6440
20091029,6391
20091030,6482
20091102,6379
20091104,6383
20091105,6337
20091106,6328
20091109,6306
20091110,6318
20091111,6318
20091112,6285
20091113,6277
20091116,6233
20091117,6208
20091118,6157
20091119,6069
20091120,6077
20091124,6008
20091125,6036
20091126,6010
20091127,5874
20091130,6084
20091201,6213
20091202,6221
20091203,6432
20091204,6443
20091207,6511
20091208,6496
20091209,6409
20091210,6330
20091211,6437
20091214,6411
20091215,6409
20091216,6509
20091217,6494
20091218,6473
20091221,6460
20091222,6542
20091224,6621
20091225,6590
20091228,6632
20091229,6642
20091230,6582
20100104,6640
20100105,6669
20100106,6752
20100107,6759
20100108,6827
20100112,6922
20100113,6851
20100114,6960
20100115,7013
20100118,6949
20100119,6892
20100120,6855
20100121,6938
20100122,6829
20100125,6783
20100126,6652
20100127,6587
20100128,6635
20100129,6539
20100201,6522
20100202,6626
20100203,6646
20100204,6612
20100205,6473
20100208,6408
20100209,6398
20100210,6412
20100212,6476
20100215,6411
20100216,6423
20100217,6565
20100218,6566
20100219,6452
20100222,6602
20100223,6585
20100224,6503
20100225,6470
20100226,6490
20100301,6525
20100302,6552
20100303,6573
20100304,6515
20100305,6610
20100308,6730
20100309,6708
20100310,6694
20100311,6752
20100312,6794
20100315,6814
20100316,6807
20100317,6874
20100318,6827
20100319,6887
20100323,6875
20100324,6907
20100325,6908
20100326,7014
20100329,7071
20100330,7169
20100331,7162
20100401,7210
20100402,7242
20100405,7286
20100406,7253
20100407,7286
20100408,7215
20100409,7240
20100412,7279
20100413,7232
20100414,7251
20100415,7308
20100416,7233
20100419,7103
20100420,7112
20100421,7222
20100422,7157
20100423,7159
20100426,7291
20100427,7299
20100428,7152
20100430,7222
20100506,6999
20100507,6822
20100510,6911
20100511,6819
20100512,6823
20100513,6934
20100514,6851
20100517,6734
20100518,6687
20100519,6663
20100520,6572
20100521,6436
20100524,6438
20100525,6291
20100526,6283
20100527,6364
20100528,6427
20100531,6440
20100601,6439
20100602,6363
20100603,6516
20100604,6513
20100607,6284
20100608,6278
20100609,6220
20100610,6267
20100611,6338
20100614,6426
20100615,6426
20100616,6527
20100617,6491
20100618,6470
