日付,基準価額
20080109,10000
20080110,9795
20080111,9450
20080115,9133
20080116,8767
20080117,8921
20080118,9197
20080121,9035
20080122,8389
20080123,8677
20080124,8929
20080125,9190
20080128,8727
20080129,8846
20080130,8886
20080131,8962
20080201,8985
20080204,9211
20080205,9219
20080206,8875
20080207,8952
20080208,8895
20080212,8721
20080213,8674
20080214,8822
20080215,8921
20080218,9006
20080219,9159
20080220,9070
20080221,9136
20080222,9045
20080225,9106
20080226,9074
20080227,9125
20080228,9042
20080229,8913
20080303,8668
20080304,8508
20080305,8211
20080306,8233
20080307,7986
20080310,8047
20080311,8123
20080312,8126
20080313,7965
20080314,7741
20080317,7351
20080318,7663
20080319,7886
20080321,8181
20080324,8220
20080325,8370
20080326,8420
20080327,8231
20080328,8237
20080331,8377
20080401,8474
20080402,8841
20080403,8931
20080404,8825
20080407,9008
20080408,8942
20080409,8612
20080410,8467
20080411,8650
20080414,8392
20080415,8588
20080416,8584
20080417,8811
20080418,8779
20080421,8863
20080422,8834
20080423,8797
20080424,8560
20080425,8543
20080428,8608
20080430,8564
20080501,8694
20080502,8870
20080507,9032
20080508,9088
20080509,8890
20080512,8805
20080513,8876
20080514,8924
20080515,8908
20080516,8956
20080519,8784
20080520,8732
20080521,8556
20080522,8478
20080523,8610
20080526,8500
20080527,8605
20080528,8623
20080529,8756
20080530,8854
20080602,8873
20080603,8707
20080604,8660
20080605,8529
20080606,8472
20080609,8403
20080610,8252
20080611,8138
20080612,8103
20080613,8067
20080616,8205
20080617,8234
20080618,8292
20080619,8157
20080620,8049
20080623,8001
20080624,8125
20080625,8070
20080626,8057
20080627,7879
20080630,8092
20080701,8157
20080702,7885
20080703,8007
20080704,8096
20080707,8168
20080708,8038
20080709,8052
20080710,7945
20080711,7997
20080714,7969
20080715,7789
20080716,7780
20080717,7699
20080718,7659
20080722,7658
20080723,7751
20080724,7829
20080725,7828
20080728,7751
20080729,7715
20080730,7756
20080731,7807
20080801,7751
20080804,7674
20080805,7539
20080806,7645
20080807,7629
20080808,7652
20080811,7697
20080812,7763
20080813,7773
20080814,7495
20080815,7482
20080818,7474
20080819,7405
20080820,7381
20080821,7245
20080822,7128
20080825,7257
20080826,7197
20080827,7010
20080828,6936
20080829,7367
20080901,7385
20080902,7120
20080903,7032
20080904,6807
20080905,6530
20080908,6994
20080909,7048
20080910,7017
20080911,7168
20080912,7396
20080916,6885
20080917,7071
20080918,6837
20080919,7149
20080922,7231
20080924,6947
20080925,7022
20080926,6986
20080929,6908
20080930,6651
20081001,6780
20081002,6472
20081003,5947
20081006,5574
20081007,5661
20081008,5110
20081009,4949
20081010,4365
20081014,4736
20081015,4813
20081016,4446
20081017,4636
20081020,4906
20081021,5334
20081022,4886
20081023,5065
20081024,4752
20081027,4392
20081028,4214
20081029,4628
20081030,4954
20081031,5130
20081104,5450
20081105,5300
20081106,5025
20081107,5003
20081110,4929
20081111,4893
20081112,4881
20081113,4722
20081114,4707
20081117,4737
20081118,4582
20081119,4439
20081120,4349
20081121,4477
20081125,4638
20081126,4758
20081127,4849
20081128,5137
20081201,4833
20081202,4766
20081203,4750
20081204,4696
20081205,4503
20081208,4557
20081209,4880
20081210,5405
20081211,5412
20081212,5361
20081215,5490
20081216,5385
20081217,5435
20081218,5405
20081219,5572
20081222,5530
20081224,5378
20081225,5371
20081226,5435
20081229,5374
20081230,5438
20090105,5511
20090106,5523
20090107,5622
20090108,5422
20090109,5388
20090113,5097
20090114,4985
20090115,4981
20090116,4999
20090119,4999
20090120,4916
20090121,4988
20090122,5282
20090123,5393
20090126,5273
20090127,5426
20090128,5418
20090129,5466
20090130,5411
20090202,5231
20090203,5243
20090204,5190
20090205,5316
20090206,5289
20090209,5198
20090210,5195
20090212,5162
20090213,5187
20090216,5138
20090217,5160
20090218,4894
20090219,4578
20090220,4620
20090223,4464
20090224,4601
20090225,4427
20090226,4605
20090227,4717
20090302,4719
20090303,4655
20090304,4662
20090305,4731
20090306,4613
20090309,4501
20090310,4587
20090311,4578
20090312,4676
20090313,4740
20090316,4787
20090317,4932
20090318,5060
20090319,4984
20090323,4931
20090324,5049
20090325,5030
20090326,5131
20090327,5546
20090330,5352
20090331,5195
20090401,5145
20090402,5223
20090403,5145
20090406,5157
20090407,5354
20090408,5445
20090409,5432
20090410,5321
20090413,5317
20090414,5344
20090415,5243
20090416,5164
20090417,5206
20090420,5194
20090421,5141
20090422,5151
20090423,5255
20090424,5168
20090427,5134
20090428,5008
20090430,5182
20090501,5246
20090507,5409
20090508,5347
20090511,5449
20090512,5362
20090513,5298
20090514,5162
20090515,5264
20090518,5169
20090519,5207
20090520,5283
20090521,5213
20090522,5200
20090525,5265
20090526,5345
20090527,5447
20090528,5434
20090529,5518
20090601,5495
20090602,5529
20090603,5559
20090604,5593
20090605,5616
20090608,5650
20090609,5617
20090610,5629
20090611,5535
20090612,5552
20090615,5560
20090616,5480
20090617,5594
20090618,5613
20090619,5647
20090622,5778
20090623,5717
20090624,5709
20090625,5805
20090626,6047
20090629,6082
20090630,6063
20090701,6209
20090702,6256
20090703,6235
20090706,6218
20090707,5988
20090708,6027
20090709,5900
20090710,6005
20090713,5883
20090714,5987
20090715,5998
20090716,6045
20090717,6164
20090721,6193
20090722,6182
20090723,6182
20090724,6144
20090727,6131
20090728,6133
20090729,6119
20090730,6083
20090731,6180
20090803,6320
20090804,6343
20090805,6203
20090806,6236
20090807,6245
20090810,6254
20090811,6250
20090812,6308
20090813,6254
20090814,6393
20090817,6194
20090818,6115
20090819,6145
20090820,6200
20090821,6224
20090824,6255
20090825,6246
20090826,6242
20090827,6237
20090828,6300
20090831,6312
20090901,6308
20090902,6268
20090903,6247
20090904,6243
20090907,6193
20090908,6135
20090909,6210
20090910,6259
20090911,6297
20090914,6354
20090915,6379
20090916,6286
20090917,6264
20090918,6212
20090924,6211
20090925,6174
20090928,6133
20090929,6126
20090930,6223
20091001,6144
20091002,6065
20091005,5928
20091006,6079
20091007,6100
20091008,6069
20091009,6108
20091013,6136
20091014,6034
20091015,6048
20091016,5969
20091019,5976
20091020,6052
20091021,5976
20091022,5850
20091023,5883
20091026,5846
20091027,5866
20091028,5805
20091029,5658
20091030,5913
20091102,6027
20091104,6059
20091105,5881
20091106,5818
20091109,5854
20091110,5821
20091111,5819
20091112,5733
20091113,5697
20091116,5669
20091117,5619
20091118,5535
20091119,5276
20091120,5438
20091124,5407
20091125,5354
20091126,5331
20091127,5195
20091130,5325
20091201,5554
20091202,5532
20091203,5556
20091204,5645
20091207,5729
20091208,5508
20091209,5474
20091210,5446
20091211,5486
20091214,5479
20091215,5539
20091216,5513
20091217,5559
20091218,5497
20091221,5460
20091222,5479
20091224,5522
20091225,5565
20091228,5654
20091229,5726
20091230,5727
20100104,5809
20100105,5835
20100106,5794
20100107,5749
20100108,5738
20100112,5781
20100113,5785
20100114,5816
20100115,5843
20100118,5882
20100119,5905
20100120,5966
20100121,5962
20100122,5974
20100125,5962
20100126,5895
20100127,5802
20100128,5813
20100129,5837
20100201,5867
20100202,5926
20100203,5911
20100204,5912
20100205,5838
20100208,5762
20100209,5637
20100210,5728
20100212,5732
20100215,5687
20100216,5686
20100217,5822
20100218,5763
20100219,5782
20100222,5849
20100223,5876
20100224,5799
20100225,5821
20100226,5882
20100301,5961
20100302,5970
20100303,6001
20100304,5906
20100305,5913
20100308,5871
20100309,5816
20100310,5849
20100311,5883
20100312,5907
20100315,5954
20100316,6001
20100317,6028
20100318,6027
20100319,6017
20100323,5986
20100324,5921
20100325,5952
20100326,6019
20100329,6086
20100330,6158
20100331,6172
20100401,6143
20100402,6188
20100405,6210
20100406,6220
20100407,6188
20100408,6219
20100409,6190
20100412,6264
20100413,6253
20100414,6311
20100415,6385
20100416,6326
20100419,6254
20100420,6327
20100421,6344
20100422,6423
20100423,6382
20100426,6489
20100427,6469
20100428,6395
20100430,6514
20100506,6403
20100507,6359
20100510,6380
20100511,6267
20100512,6181
20100513,6294
20100514,6378
20100517,6324
20100518,6117
20100519,6139
20100520,6084
20100521,6020
20100524,5949
20100525,5809
20100526,5883
20100527,5913
20100528,5983
20100531,5990
20100601,6058
20100602,6055
20100603,6054
20100604,6005
20100607,5853
20100608,5829
20100609,5733
20100610,5805
20100611,5938
20100614,5952
20100615,5901
20100616,5990
20100617,5970
20100618,5874
20100621,5867
20100622,5905
20100623,5888
20100624,5957
20100625,5913
20100628,5864
20100629,5822
20100630,5775
20100701,5826
20100702,5865
20100705,5914
20100706,5862
20100707,5882
20100708,5860
20100709,5878
20100712,5854
20100713,5861
20100714,5899
20100715,5879
20100716,5896
20100720,5914
20100721,5985
20100722,5956
20100723,6008
20100726,6079
20100727,6142
20100728,6146
20100729,6135
20100730,6070
20100802,6205
20100803,6074
20100804,5997
20100805,6040
20100806,6066
20100809,6035
20100810,5981
20100811,5931
20100812,5912
20100813,5912
20100816,5917
20100817,5937
20100818,5948
20100819,5991
20100820,5948
20100823,5936
20100824,5946
20100825,5962
20100826,5935
20100827,5975
20100830,6009
20100831,6019
20100901,6115
20100902,6185
20100903,6089
20100906,6085
20100907,6084
20100908,6024
20100909,6009
20100910,6009
20100913,6014
20100914,6021
20100915,6044
20100916,6004
20100917,6048
20100921,6099
20100922,6117
20100924,6127
20100927,6124
20100928,6145
20100929,6233
20100930,6240
20101001,6315
20101004,6305
20101005,6441
20101006,6514
20101007,6463
20101008,6368
20101012,6315
20101013,6372
20101014,6439
20101015,6357
20101018,6305
20101019,6300
20101020,6327
20101021,6350
20101022,6321
20101025,6293
20101026,6379
20101027,6501
20101028,6339
20101029,6446
20101101,6613
20101102,6540
20101104,6576
20101105,6644
20101108,6661
