日付,基準価額
20080109,10000
20080110,10088
20080111,10094
20080115,9999
20080116,9871
20080117,9867
20080118,9842
20080121,9824
20080122,9679
20080123,9874
20080124,9878
20080125,9911
20080128,9869
20080129,9925
20080130,9908
20080131,9883
20080201,9964
20080204,9968
20080205,9962
20080206,9915
20080207,9872
20080208,9879
20080212,9883
20080213,9913
20080214,9981
20080215,9961
20080218,9983
20080219,9983
20080220,9976
20080221,9970
20080222,9986
20080225,9981
20080226,10013
20080227,10017
20080228,9977
20080229,9923
20080303,9843
20080304,9861
20080305,9864
20080306,9895
20080307,9875
20080310,9838
20080311,9781
20080312,9886
20080313,9852
20080314,9816
20080317,9561
20080318,9517
20080319,9714
20080321,9606
20080324,9636
20080325,9707
20080326,9674
20080327,9646
20080328,9661
20080331,9748
20080401,9726
20080402,9817
20080403,9873
20080404,9900
20080407,9910
20080408,9934
20080409,9914
20080410,9874
20080411,9892
20080414,9852
20080415,9877
20080416,9891
20080417,9913
20080418,9937
20080421,10028
20080422,9987
20080423,10007
20080424,9986
20080425,9977
20080428,9987
20080430,9936
20080501,9970
20080502,9978
20080507,9997
20080508,9920
20080509,9891
20080512,9856
20080513,9958
20080514,9969
20080515,9981
20080516,9931
20080519,9940
20080520,9923
20080521,9928
20080522,9886
20080523,9955
20080526,9905
20080527,9920
20080528,9932
20080529,9958
20080530,9951
20080602,9940
20080603,9878
20080604,9890
20080605,9913
20080606,9990
20080609,10011
20080610,10044
20080611,10024
20080612,10012
20080613,10018
20080616,10003
20080617,10049
20080618,10062
20080619,10090
20080620,10059
20080623,10078
20080624,10096
20080625,10115
20080626,10172
20080627,10157
20080630,10125
20080701,10051
20080702,10053
20080703,10080
20080704,10110
20080707,10131
20080708,10211
20080709,10223
20080710,10220
20080711,10263
20080714,10245
20080715,10222
20080716,10115
20080717,10094
20080718,10205
20080722,10177
20080723,10190
20080724,10198
20080725,10191
20080728,10239
20080729,10249
20080730,10257
20080731,10278
20080801,10286
20080804,10266
20080805,10310
20080806,10296
20080807,10358
20080808,10360
20080811,10251
20080812,10238
20080813,10165
20080814,10181
20080815,10174
20080818,10211
20080819,10176
20080820,10204
20080821,10211
20080822,10139
20080825,10189
20080826,10148
20080827,10135
20080828,10159
20080829,10119
20080901,10014
20080902,9989
20080903,9990
20080904,9941
20080905,9731
20080908,9937
20080909,9737
20080910,9704
20080911,9658
20080912,9642
20080916,9545
20080917,9724
20080918,9655
20080919,9701
20080922,9772
20080924,9730
20080925,9810
20080926,9783
20080929,9811
20080930,9549
20081001,9640
20081002,9586
20081003,9462
20081006,9363
20081007,9129
20081008,9152
20081009,8955
20081010,8812
20081014,9090
20081015,8929
20081016,8754
20081017,8913
20081020,8950
20081021,8907
20081022,8660
20081023,8362
20081024,8356
20081027,7999
20081028,7830
20081029,8345
20081030,8545
20081031,8402
20081104,8344
20081105,8587
20081106,8437
20081107,8268
20081110,8558
20081111,8338
20081112,8269
20081113,8072
20081114,8292
20081117,8174
20081118,8214
20081119,8240
20081120,8183
20081121,8077
20081125,8416
20081126,8380
20081127,8408
20081128,8426
20081201,8329
20081202,8203
20081203,8209
20081204,8242
20081205,8188
20081208,8192
20081209,8227
20081210,8197
20081211,8231
20081212,8263
20081215,8239
20081216,8303
20081217,8361
20081218,8391
20081219,8581
20081222,8480
20081224,8522
20081225,8517
20081226,8560
20081229,8598
20081230,8605
20090105,8633
20090106,8585
20090107,8583
20090108,8512
20090109,8451
20090113,8169
20090114,8082
20090115,8091
20090116,8152
20090119,8282
20090120,8071
20090121,7945
20090122,7857
20090123,7850
20090126,7744
20090127,7874
20090128,7901
20090129,8021
20090130,7862
20090202,7829
20090203,7846
20090204,7866
20090205,7824
20090206,7972
20090209,8125
20090210,8042
20090212,7997
20090213,8044
20090216,8055
20090217,8073
20090218,8084
20090219,8189
20090220,8212
20090223,8215
20090224,8285
20090225,8567
20090226,8558
20090227,8525
20090302,8417
20090303,8452
20090304,8508
20090305,8611
20090306,8591
20090309,8634
20090310,8654
20090311,8628
20090312,8543
20090313,8643
20090316,8689
20090317,8714
20090318,8729
20090319,8756
20090323,8877
20090324,9030
20090325,8925
20090326,8945
20090327,9022
20090330,8876
20090331,8877
20090401,8943
20090402,8962
20090403,9111
20090406,9207
20090407,9104
20090408,9062
20090409,9008
20090410,9031
20090413,9017
20090414,9111
20090415,8971
20090416,9047
20090417,9019
20090420,8860
20090421,8768
20090422,8812
20090423,8733
20090424,8811
20090427,8760
20090428,8679
20090430,8904
20090501,8994
20090507,8978
20090508,9021
20090511,9064
20090512,8972
20090513,8867
20090514,8787
20090515,8875
20090518,8674
20090519,8841
20090520,8839
20090521,8778
20090522,8800
20090525,8832
20090526,8841
20090527,8854
20090528,8854
20090529,8944
20090601,8915
20090602,9015
20090603,9024
20090604,9047
20090605,9038
20090608,9084
20090609,9061
20090610,9031
20090611,9080
20090612,9092
20090615,9097
20090616,8963
20090617,8922
20090618,8904
20090619,8944
20090622,8930
20090623,8849
20090624,8943
20090625,8948
20090626,8986
20090629,8965
20090630,9082
20090701,9068
20090702,9126
20090703,9022
20090706,9018
20090707,8984
20090708,8868
20090709,8744
20090710,8781
20090713,8776
20090714,8804
20090715,8837
20090716,8911
20090717,8890
20090721,8939
20090722,8910
20090723,8931
20090724,8988
20090727,9006
20090728,9027
20090729,8995
20090730,9007
20090731,9069
20090803,9132
20090804,9207
20090805,9210
20090806,9180
20090807,9206
20090810,9262
20090811,9231
20090812,9169
20090813,9198
20090814,9191
20090817,9087
20090818,9098
20090819,9116
20090820,9112
20090821,9110
20090824,9177
20090825,9122
20090826,9121
20090827,9086
20090828,9126
20090831,9003
20090901,9038
20090902,8973
20090903,8937
20090904,8977
20090907,9041
20090908,9029
20090909,9026
20090910,9019
20090911,9013
20090914,8923
20090915,8986
20090916,8976
20090917,8999
20090918,9020
20090924,9020
20090925,8938
20090928,8775
20090929,8898
20090930,8909
20091001,8888
20091002,8831
20091005,8907
20091006,8884
20091007,8846
20091008,8833
20091009,8872
20091013,8931
20091014,8954
20091015,8961
20091016,9068
20091019,9044
20091020,9074
20091021,9096
20091022,9136
20091023,9186
20091026,9193
20091027,9139
20091028,9108
20091029,8974
20091030,9092
20091102,8961
20091104,8930
