日付,基準価額
20080109,10000
20080110,10101
20080111,10103
20080115,9932
20080116,9546
20080117,9467
20080118,9259
20080121,9191
20080122,8821
20080123,8963
20080124,8983
20080125,9285
20080128,9188
20080129,9254
20080130,9352
20080131,9257
20080201,9370
20080204,9532
20080205,9488
20080206,9148
20080207,9091
20080208,9105
20080212,9079
20080213,9276
20080214,9427
20080215,9363
20080218,9294
20080219,9384
20080220,9390
20080221,9396
20080222,9344
20080225,9343
20080226,9542
20080227,9617
20080228,9555
20080229,9326
20080303,8983
20080304,8948
20080305,8883
20080306,9029
20080307,8822
20080310,8682
20080311,8481
20080312,8821
20080313,8758
20080314,8689
20080317,8286
20080318,8039
20080319,8549
20080321,8401
20080324,8422
20080325,8591
20080326,8706
20080327,8600
20080328,8631
20080331,8640
20080401,8627
20080402,9040
20080403,9139
20080404,9163
20080407,9166
20080408,9248
20080409,9195
20080410,9051
20080411,9088
20080414,8880
20080415,8829
20080416,8931
20080417,9157
20080418,9199
20080421,9465
20080422,9391
20080423,9339
20080424,9375
20080425,9452
20080428,9552
20080430,9439
20080501,9447
20080502,9567
20080507,9702
20080508,9596
20080509,9543
20080512,9404
20080513,9581
20080514,9656
20080515,9739
20080516,9774
20080519,9784
20080520,9839
20080521,9673
20080522,9534
20080523,9655
20080526,9448
20080527,9455
20080528,9512
20080529,9627
20080530,9718
20080602,9708
20080603,9537
20080604,9566
20080605,9543
20080606,9739
20080609,9473
20080610,9571
20080611,9534
20080612,9379
20080613,9459
20080616,9567
20080617,9594
20080618,9576
20080619,9475
20080620,9469
20080623,9279
20080624,9312
20080625,9257
20080626,9357
20080627,9059
20080630,8987
20080701,8994
20080702,8926
20080703,8810
20080704,8855
20080707,8821
20080708,8838
20080709,8882
20080710,8809
20080711,8799
20080714,8660
20080715,8601
20080716,8360
20080717,8497
20080718,8746
20080722,8862
20080723,8939
20080724,9049
20080725,8828
20080728,8887
20080729,8729
20080730,8856
20080731,9006
20080801,8913
20080804,8816
20080805,8778
20080806,8966
20080807,9102
20080808,8992
20080811,9073
20080812,9153
20080813,8983
20080814,8927
20080815,8985
20080818,9020
20080819,8911
20080820,8790
20080821,8842
20080822,8775
20080825,8972
20080826,8792
20080827,8800
20080828,8885
20080829,8987
20080901,8852
20080902,8813
20080903,8810
20080904,8698
20080905,8293
20080908,8392
20080909,8477
20080910,8221
20080911,8232
20080912,8253
20080916,7817
20080917,7971
20080918,7610
20080919,7858
20080922,8413
20080924,7992
20080925,8008
20080926,8148
20080929,8112
20080930,7272
20081001,7668
20081002,7631
20081003,7275
20081006,7202
20081007,6603
20081008,6384
20081009,6081
20081010,5718
20081014,6271
20081015,6262
20081016,5659
20081017,5770
20081020,5845
20081021,6092
20081022,5830
20081023,5310
20081024,5317
20081027,4923
20081028,4698
20081029,5350
20081030,5553
20081031,5642
20081104,5763
20081105,6090
20081106,5765
20081107,5371
20081110,5654
20081111,5502
20081112,5314
20081113,4964
20081114,5272
20081117,5088
20081118,4970
20081119,5012
20081120,4713
20081121,4346
20081125,4970
20081126,4949
20081127,5058
20081128,5117
20081201,5143
20081202,4662
20081203,4752
20081204,4840
20081205,4718
20081208,4765
20081209,5037
20081210,4970
20081211,5027
20081212,4919
20081215,4879
20081216,4838
20081217,4970
20081218,4896
20081219,4942
20081222,4917
20081224,4832
20081225,4835
20081226,4855
20081229,4876
20081230,4901
20090105,5259
20090106,5310
20090107,5406
20090108,5229
20090109,5165
20090113,4826
20090114,4780
20090115,4609
20090116,4633
20090119,4742
20090120,4642
20090121,4412
20090122,4473
20090123,4434
20090126,4411
20090127,4536
20090128,4556
20090129,4773
20090130,4579
20090202,4510
20090203,4455
20090204,4540
20090205,4546
20090206,4667
20090209,4856
20090210,4828
20090212,4601
20090213,4606
20090216,4620
20090217,4608
20090218,4431
20090219,4488
20090220,4490
20090223,4367
20090224,4301
20090225,4517
20090226,4509
20090227,4518
20090302,4385
20090303,4175
20090304,4171
20090305,4342
20090306,4144
20090309,4124
20090310,4116
20090311,4342
20090312,4308
20090313,4450
20090316,4524
20090317,4575
20090318,4671
20090319,4659
20090323,4608
20090324,4948
20090325,4876
20090326,4908
20090327,5031
20090330,4887
20090331,4711
20090401,4831
20090402,4905
20090403,5180
20090406,5251
20090407,5179
20090408,5074
20090409,5071
20090410,5262
20090413,5248
20090414,5287
20090415,5165
20090416,5232
20090417,5315
20090420,5307
20090421,5033
20090422,5126
20090423,5082
20090424,5139
20090427,5199
20090428,5127
20090430,5302
20090501,5398
20090507,5661
20090508,5658
20090511,5769
20090512,5600
20090513,5518
20090514,5337
20090515,5411
20090518,5288
20090519,5521
20090520,5563
20090521,5505
20090522,5415
20090525,5439
20090526,5460
20090527,5582
20090528,5567
20090529,5642
20090601,5641
20090602,5873
20090603,5871
20090604,5784
20090605,5848
20090608,5942
20090609,5901
20090610,5872
20090611,5951
20090612,5987
20090615,5980
20090616,5751
20090617,5660
20090618,5578
20090619,5666
20090622,5677
20090623,5453
20090624,5483
20090625,5565
20090626,5629
20090629,5606
20090630,5719
20090701,5678
20090702,5755
20090703,5537
20090706,5529
20090707,5477
20090708,5337
20090709,5221
20090710,5272
20090713,5225
20090714,5347
20090715,5435
20090716,5645
20090717,5660
20090721,5778
20090722,5770
20090723,5791
20090724,5979
20090727,6001
20090728,6041
20090729,5981
20090730,5988
20090731,6111
20090803,6103
20090804,6246
20090805,6260
20090806,6217
20090807,6226
20090810,6378
20090811,6321
20090812,6191
20090813,6270
20090814,6298
20090817,6169
20090818,6029
20090819,6101
20090820,6100
20090821,6161
20090824,6327
20090825,6314
20090826,6317
20090827,6285
20090828,6302
20090831,6242
20090901,6210
20090902,6063
20090903,6002
20090904,6076
20090907,6196
20090908,6226
20090909,6261
20090910,6301
20090911,6311
20090914,6245
20090915,6302
20090916,6319
20090917,6436
20090918,6452
20090924,6429
20090925,6284
20090928,6121
20090929,6313
20090930,6318
20091001,6285
20091002,6106
20091005,6076
20091006,6119
20091007,6201
20091008,6190
20091009,6281
20091013,6403
20091014,6380
20091015,6509
20091016,6616
20091019,6550
20091020,6629
20091021,6596
20091022,6612
20091023,6654
20091026,6624
20091027,6527
20091028,6459
20091029,6237
20091030,6440
20091102,6185
20091104,6191
20091105,6298
20091106,6383
20091109,6361
20091110,6522
20091111,6490
20091112,6557
20091113,6522
20091116,6494
20091117,6580
20091118,6561
20091119,6565
20091120,6456
20091124,6504
20091125,6463
20091126,6440
20091127,6248
20091130,6249
20091201,6215
20091202,6371
20091203,6459
20091204,6438
20091207,6591
20091208,6497
20091209,6346
20091210,6331
20091211,6385
20091214,6423
20091215,6461
20091216,6492
20091217,6542
20091218,6386
20091221,6486
20091222,6583
20091224,6696
20091225,6722
20091228,6733
20091229,6749
20091230,6779
20100104,6801
20100105,6881
20100106,6831
20100107,6918
20100108,6980
20100112,6962
20100113,6812
20100114,6871
20100115,6883
20100118,6750
20100119,6780
20100120,6847
20100121,6748
20100122,6551
20100125,6419
20100126,6457
20100127,6367
20100128,6399
20100129,6286
20100201,6290
20100202,6408
20100203,6461
20100204,6448
20100205,6148
20100208,6077
20100209,6054
20100210,6175
20100212,6211
20100215,6216
20100216,6218
20100217,6354
20100218,6431
20100219,6503
20100222,6542
20100223,6493
20100224,6337
20100225,6371
20100226,6272
20100301,6292
20100302,6365
20100303,6372
20100304,6393
20100305,6452
20100308,6635
20100309,6613
20100310,6606
20100311,6680
20100312,6711
20100315,6746
20100316,6669
20100317,6758
20100318,6799
20100319,6781
20100323,6732
20100324,6783
20100325,6839
20100326,6891
20100329,6906
20100330,6924
20100331,6986
20100401,7017
20100402,7121
20100405,7161
20100406,7175
20100407,7152
20100408,7088
20100409,7101
20100412,7161
20100413,7153
20100414,7190
20100415,7267
20100416,7221
20100419,7029
20100420,7076
20100421,7172
20100422,7136
20100423,7124
20100426,7264
20100427,7231
20100428,6968
20100430,7135
20100506,6769
20100507,6406
20100510,6361
20100511,6716
20100512,6665
20100513,6781
20100514,6693
20100517,6467
20100518,6475
20100519,6348
20100520,6302
20100521,5981
20100524,6042
20100525,5988
20100526,5934
20100527,5934
20100528,6230
20100531,6183
20100601,6156
20100602,6114
20100603,6275
20100604,6360
20100607,6018
20100608,5984
20100609,5993
20100610,6008
20100611,6210
20100614,6257
20100615,6288
20100616,6402
20100617,6372
20100618,6369
20100621,6373
20100622,6399
20100623,6276
20100624,6211
20100625,6085
20100628,6074
20100629,6076
20100630,5804
20100701,5771
20100702,5718
20100705,5705
20100706,5654
20100707,5762
20100708,5937
20100709,6035
20100712,6106
20100713,6100
20100714,6222
20100715,6175
20100716,6134
20100720,5952
20100721,6018
20100722,5929
20100723,6112
20100726,6193
20100727,6203
20100728,6264
20100729,6205
20100730,6157
20100802,6155
20100803,6296
20100804,6219
20100805,6293
20100806,6258
20100809,6201
20100810,6271
20100811,6173
20100812,5970
20100813,6012
20100816,5967
20100817,5938
20100818,6041
20100819,6041
20100820,5934
20100823,5895
20100824,5853
20100825,5716
20100826,5734
20100827,5713
20100830,5894
20100831,5754
20100901,5734
20100902,5927
20100903,5960
20100906,6038
20100907,6029
20100908,5935
20100909,5981
20100910,6032
20100913,6065
20100914,6082
20100915,6215
20100916,6276
20100917,6284
20100921,6358
20100922,6311
20100924,6209
20100927,6322
20100928,6298
20100929,6303
20100930,6287
20101001,6244
20101004,6266
20101005,6226
20101006,6327
20101007,6342
20101008,6294
20101012,6308
20101013,6283
20101014,6354
20101015,6336
20101018,6303
20101019,6332
20101020,6234
20101021,6291
20101022,6307
20101025,6319
20101026,6303
20101027,6328
20101028,6309
20101029,6281
20101101,6269
20101102,6281
20101104,6398
20101105,6522
20101108,6543
20101109,6508
20101110,6519
20101111,6551
20101112,6535
20101115,6482
20101116,6528
20101117,6411
20101118,6421
20101119,6562
20101122,6570
20101124,6378
20101125,6457
20101126,6497
20101129,6455
20101130,6421
20101201,6326
20101202,6508
20101203,6588
20101206,6558
20101207,6520
20101208,6619
20101209,6661
20101210,6667
20101213,6700
20101214,6713
20101215,6744
20101216,6721
20101217,6738
20101220,6713
20101221,6700
20101222,6765
20101224,6728
20101227,6705
20101228,6697
20101229,6652
20101230,6623
20110104,6680
20110105,6702
20110106,6808
20110107,6780
20110111,6693
20110112,6779
20110113,6857
20110114,6851
20110117,6891
20110118,6862
20110119,6903
20110120,6805
20110121,6835
20110124,6846
20110125,6886
20110126,6836
20110127,6874
20110128,6947
20110131,6781
20110201,6822
20110202,6897
20110203,6912
20110204,6901
20110207,6965
20110208,7009
20110209,7033
20110210,7037
20110214,7102
20110215,7128
20110216,7153
20110217,7197
20110218,7206
20110221,7202
20110222,7147
20110223,7037
20110224,6958
20110225,6915
20110228,6964
20110301,7044
20110302,6957
20110303,6956
20110304,7088
20110307,7059
20110308,6995
20110309,7078
20110310,7062
20110311,6937
20110314,6887
20110315,6829
20110316,6656
20110317,6398
20110318,6667
20110322,6809
20110323,6787
20110324,6802
20110325,6875
20110328,6918
20110329,6917
20110330,7030
20110331,7155
20110401,7161
20110404,7293
20110405,7316
20110406,7401
20110407,7459
20110408,7420
20110411,7426
20110412,7339
20110413,7236
20110414,7229
20110415,7222
20110418,7183
20110419,7032
20110420,7097
20110421,7193
20110422,7186
20110425,7225
20110426,7167
20110427,7217
20110428,7328
20110502,7292
20110506,7011
20110509,7061
20110510,7031
20110511,7150
20110512,7100
20110513,7080
20110516,7007
20110517,6996
20110518,7022
20110519,7103
20110520,7146
20110523,7091
20110524,6980
20110525,7006
20110526,7034
20110527,6996
20110530,7027
20110531,7038
20110601,7162
20110602,6998
20110603,6957
20110606,6882
20110607,6812
20110608,6815
20110609,6751
20110610,6814
20110613,6705
20110614,6695
20110615,6808
20110616,6701
20110617,6659
20110620,6646
20110621,6661
20110622,6770
20110623,6745
20110624,6688
20110627,6645
20110628,6696
20110629,6799
20110630,6878
20110701,6966
20110704,7043
20110705,7058
20110706,7049
20110707,7030
20110708,7119
20110711,6996
20110712,6807
20110713,6712
20110714,6720
20110715,6695
20110719,6617
20110720,6729
20110721,6736
20110722,6829
20110725,6824
20110726,6780
20110727,6749
20110728,6621
20110729,6588
20110801,6561
20110802,6467
20110803,6295
20110804,6420
20110805,6124
20110808,6006
20110809,5612
20110810,5801
20110811,5575
20110812,5773
20110815,5863
20110816,5968
20110817,5913
20110818,5926
20110819,5667
20110822,5569
20110823,5590
20110824,5738
20110825,5807
20110826,5775
20110829,5770
20110830,5921
20110831,5927
20110901,6020
20110902,5979
20110905,5803
20110906,5718
20110907,5705
20110908,5873
20110909,5848
20110912,5656
20110913,5588
20110914,5630
20110915,5683
20110916,5806
20110920,5710
20110921,5716
20110922,5593
20110926,5378
20110927,5460
20110928,5610
20110929,5508
20110930,5564
20111003,5463
20111004,5276
20111005,5304
20111006,5439
20111007,5573
20111011,5742
20111012,5741
20111013,5878
20111014,5825
20111017,5952
20111018,5819
20111019,5864
20111020,5841
20111021,5818
20111024,5911
20111025,5999
20111026,5901
20111027,5957
20111028,6183
20111031,6315
20111101,6173
20111102,5958
20111104,6143
20111107,6113
20111108,6117
20111109,6163
20111110,5955
20111111,5955
20111114,6073
20111115,5995
20111116,5976
20111117,5900
20111118,5810
20111121,5785
20111122,5660
20111124,5512
20111125,5516
20111128,5536
20111129,5753
20111130,5784
20111201,5991
20111202,5997
20111205,6035
20111206,6065
20111207,6049
20111208,6059
20111209,5937
20111212,6011
20111213,5919
20111214,5873
20111215,5786
20111216,5799
20111219,5807
20111220,5766
20111221,5916
20111222,5931
20111226,6021
20111227,6030
20111228,6019
20111229,5934
20111230,5986
20120104,6041
20120105,6026
20120106,6030
20120110,5987
20120111,6061
20120112,6052
20120113,6066
20120116,6025
20120117,6046
20120118,6082
20120119,6141
20120120,6228
20120123,6211
20120124,6245
20120125,6295
20120126,6339
20120127,6310
20120130,6252
20120131,6182
20120201,6162
20120202,6253
20120203,6267
20120206,6374
20120207,6374
20120208,6426
20120209,6446
20120210,6512
20120213,6447
20120214,6472
20120215,6539
20120216,6518
20120217,6618
20120220,6710
20120221,6742
20120222,6746
20120223,6761
20120224,6773
20120227,6905
20120228,6814
20120229,6876
20120301,6878
20120302,6937
20120305,6923
20120306,6891
20120307,6667
20120308,6761
20120309,6890
20120312,6945
20120313,6952
20120314,7129
20120315,7183
20120316,7192
20120319,7227
20120321,7221
20120322,7180
20120323,7057
20120326,7089
20120327,7200
20120328,7179
20120329,7110
20120330,7035
20120402,7158
20120403,7106
20120404,7134
20120405,6982
20120406,6971
20120409,6895
20120410,6882
20120411,6658
20120412,6728
20120413,6832
20120416,6719
20120417,6701
20120418,6858
20120419,6861
20120420,6850
20120423,6862
