,date,dif
0,20200106,0.0
1,20200107,0.0
2,20200108,0.0
3,20200109,0.0
4,20200110,0.0
5,20200114,0.0
6,20200115,0.0
7,20200116,0.0
8,20200117,0.0
9,20200120,0.0
10,20200121,0.0
11,20200122,0.0
12,20200123,0.0
13,20200124,0.0
14,20200127,0.0
15,20200128,0.0
16,20200129,0.0
17,20200130,0.0
18,20200131,0.0
19,20200203,0.0
20,20200204,0.0
21,20200205,0.0
22,20200206,0.0
23,20200207,0.0
24,20200210,0.0
25,20200212,0.0
26,20200213,0.0
27,20200214,0.0
28,20200217,0.0
29,20200218,0.0
30,20200219,0.0
31,20200220,0.0
32,20200221,0.01480642573271765
33,20200225,0.021767115092859876
34,20200226,0.02330365558688319
35,20200227,0.023198226106381014
36,20200228,0.033452091094807415
37,20200302,0.03791441615378327
38,20200303,0.04130414488645211
39,20200304,0.04200411191987148
40,20200305,0.0445381848270954
41,20200306,0.0493341770112024
42,20200309,0.07312855107608948
43,20200310,0.08399578643116591
44,20200311,0.08940981267279514
45,20200312,0.10234831264806643
46,20200313,0.14401846829396722
47,20200316,0.15771805040845777
48,20200317,0.21171751199929656
49,20200318,0.22261175420805612
50,20200319,0.27673803184654405
51,20200323,0.2941855670678637
52,20200324,0.3158718623859923
53,20200325,0.35013868936577824
54,20200326,0.3556704904571991
55,20200327,0.3607065416158816
56,20200330,0.3643911286323429
57,20200331,0.36607009978655447
58,20200401,0.37216066435726425
59,20200402,0.3797044815006756
60,20200403,0.38077800925430727
61,20200406,0.3822764645859612
62,20200407,0.3989720699687807
63,20200408,0.39935577661942273
64,20200409,0.40306245542626484
65,20200410,0.3988228448072691
66,20200413,0.3968787634832235
67,20200414,0.3981025262204906
68,20200415,0.3883304285966845
69,20200416,0.38501715691293903
70,20200417,0.3819077427428793
71,20200420,0.3831712797069707
72,20200421,0.3833177277812323
73,20200422,0.38085804385601707
74,20200423,0.358750869144386
75,20200424,0.34762303476949585
76,20200427,0.34303298560027423
77,20200428,0.33151438990034726
78,20200430,0.2920882408567917
79,20200501,0.2781277090188377
80,20200507,0.23184288854741092
81,20200508,0.2243066346867375
82,20200511,0.17157855130052335
83,20200512,0.15349796471486407
84,20200513,0.13471278240229756
85,20200514,0.10006160566893156
86,20200515,0.09458314423863119
87,20200518,0.08973815495064127
88,20200519,0.09122336979567701
89,20200520,0.08970841422424654
90,20200521,0.0838752002801825
91,20200522,0.07652920548309577
92,20200525,0.0763091542311013
93,20200526,0.07503990036794668
94,20200527,0.060112042121876014
95,20200528,0.059819473746870445
96,20200529,0.056490283803463145
97,20200601,0.05423149856668284
98,20200602,0.05519465887912747
99,20200603,0.05602953643828046
100,20200604,0.057526871775049
101,20200605,0.055539964522461155
102,20200608,0.05814218159209506
103,20200609,0.05650692593270585
104,20200610,0.054401235427728636
105,20200611,0.05501855742811429
106,20200612,0.0624537299899036
107,20200615,0.0662821192230664
108,20200616,0.06899782477991878
109,20200617,0.06887833756940298
110,20200618,0.06671384290522604
111,20200619,0.06650788679485514
112,20200622,0.05933794832713997
113,20200623,0.055806447649919974
114,20200624,0.054083417699271726
115,20200625,0.0547769394325734
116,20200626,0.052024674825637794
117,20200629,0.05180062800616946
118,20200630,0.05164547319496229
119,20200701,0.05198383356996186
120,20200702,0.04719898296207547
121,20200703,0.0473238715321917
122,20200706,0.04742731781886259
123,20200707,0.04797310884006282
124,20200708,0.047349137539412306
125,20200709,0.046915752028411806
126,20200710,0.045570870958619294
127,20200713,0.045332876216638784
128,20200714,0.04493823211798584
129,20200715,0.04470048078211809
130,20200716,0.04367853524692026
131,20200717,0.040938540337610164
132,20200720,0.03893309631800879
133,20200721,0.03905518565960934
134,20200722,0.03629142922665435
135,20200727,0.03782512384957097
136,20200728,0.03745206200203284
137,20200729,0.03517353312831389
138,20200730,0.026358249027189536
139,20200731,0.02301895282390383
140,20200803,0.01999611315208165
141,20200804,0.019591598510484937
142,20200805,0.019446031469969642
143,20200806,0.019198051231461125
144,20200807,0.018512782107460463
145,20200811,0.019522306629669202
146,20200812,0.019584215775803868
147,20200813,0.018821394090464877
148,20200814,0.018489545266045175
149,20200817,0.017127201242647036
150,20200818,0.016846900853185638
151,20200819,0.016560158986393757
152,20200820,0.016212657517412105
153,20200821,0.0164952968191886
154,20200824,0.016245600572242367
155,20200825,0.016148687909645902
156,20200826,0.015796483465160032
157,20200827,0.015817206678491694
158,20200828,0.015575318774025768
159,20200831,0.015063099577032725
160,20200901,0.015601579290871657
161,20200902,0.015587701265644589
162,20200903,0.016021483584667026
163,20200904,0.016938301795654392
164,20200907,0.017132802571457887
165,20200908,0.01686440753234924
166,20200909,0.017814591434328446
167,20200910,0.016674912062508554
168,20200911,0.01709116351513352
169,20200914,0.016748703130815255
170,20200915,0.01682969380056453
171,20200916,0.015919652437069137
172,20200917,0.015120354209537883
173,20200918,0.015354826732252205
174,20200923,0.01823742184919453
175,20200924,0.018868459933527003
176,20200925,0.019176614800106222
177,20200928,0.018585176871719178
178,20200929,0.019307143448961173
179,20200930,0.019568490427690554
180,20201001,0.01960986325114608
181,20201002,0.019998645794820778
182,20201005,0.02040905604310666
183,20201006,0.020692026307783638
184,20201007,0.02073239211332258
185,20201008,0.020281494146700225
186,20201009,0.020514787793687102
187,20201012,0.01994243468554583
188,20201013,0.019925808865561494
189,20201014,0.019943907036567027
190,20201015,0.01988920228389572
191,20201016,0.020022120576333735
192,20201019,0.019701571798646785
193,20201020,0.019725118545257707
194,20201021,0.019098387447028624
195,20201022,0.018308311805518937
196,20201023,0.017901825948313774
