,date,dif
0,20180104,0.0
1,20180105,0.0
2,20180109,0.0
3,20180110,0.0
4,20180111,0.0
5,20180112,0.0
6,20180115,0.0
7,20180116,0.0
8,20180117,0.0
9,20180118,0.0
10,20180119,0.0
11,20180122,0.0
12,20180123,0.0
13,20180124,0.0
14,20180125,0.0
15,20180126,0.0
16,20180129,0.0
17,20180130,0.0
18,20180131,0.0
19,20180201,0.0
20,20180202,0.0
21,20180205,0.0
22,20180206,0.0
23,20180207,0.0
24,20180208,0.0
25,20180209,0.0
26,20180213,0.0
27,20180214,0.0
28,20180215,0.0
29,20180216,0.0
30,20180219,0.0
31,20180220,0.0
32,20180221,0.022632288405767295
33,20180222,0.022840634809225754
34,20180223,0.022736444197636374
35,20180226,0.022611512736397298
36,20180227,0.021832418164446976
37,20180228,0.02249408724914114
38,20180301,0.023675095281358735
39,20180302,0.024184355837047623
40,20180305,0.024546212569958013
41,20180306,0.024612749134885994
42,20180307,0.024558070009192093
43,20180308,0.024712434525429993
44,20180309,0.024754184950672487
45,20180312,0.025252586371853514
46,20180313,0.025164053609443182
47,20180314,0.025304328135987753
48,20180315,0.02542230533970448
49,20180316,0.025129078772804795
50,20180319,0.024697120155464467
51,20180320,0.024063788115783035
52,20180322,0.024144205302971747
53,20180323,0.026263063374706616
54,20180326,0.01928244967025282
55,20180327,0.02067752292366203
56,20180328,0.02028406650216896
57,20180329,0.018399788582192926
58,20180330,0.01787677729010747
59,20180402,0.017545245449523607
60,20180403,0.01786123328404645
61,20180404,0.017950873779637617
62,20180405,0.017612671931221933
63,20180406,0.017942997451678412
64,20180409,0.018447100746433354
65,20180410,0.018020284534492795
66,20180411,0.018301846787931213
67,20180412,0.017953549461790997
68,20180413,0.01817328405622555
69,20180416,0.017657873687406657
70,20180417,0.016430855788209974
71,20180418,0.01606273198597453
72,20180419,0.015587513982424476
73,20180420,0.015203408581337884
74,20180423,0.015172269526406608
75,20180424,0.015103150292701945
76,20180425,0.014839000787198516
77,20180426,0.014361663291901316
78,20180427,0.01438910528302098
79,20180501,0.014713068297847066
80,20180502,0.014512625068122622
81,20180507,0.015858788966879957
82,20180508,0.015565689635711498
83,20180509,0.015724549598825948
84,20180510,0.01605036723002139
85,20180511,0.012980322961703478
86,20180514,0.012104132728758597
87,20180515,0.01044471849289465
88,20180516,0.01068255742350558
89,20180517,0.009638396166202899
90,20180518,0.009609644287542246
91,20180521,0.009678039821049023
92,20180522,0.008918418412635376
93,20180523,0.00855990058914834
94,20180524,0.009169924557781668
95,20180525,0.00877212832783797
96,20180528,0.008208233920587133
97,20180529,0.00822382533161029
98,20180530,0.009084563671561314
99,20180531,0.009570348045993545
100,20180601,0.009410253335803167
101,20180604,0.01012875994804691
102,20180605,0.010507231553781155
103,20180606,0.010319989314342637
104,20180607,0.010426152041083624
105,20180608,0.010301887803893586
106,20180611,0.010404133512491105
107,20180612,0.010418021744326027
108,20180613,0.010330642002003456
109,20180614,0.010626804623857584
110,20180615,0.010710443601090348
111,20180618,0.010440844994214516
112,20180619,0.01085270567918678
113,20180620,0.010004876480578705
114,20180621,0.010206443375951032
115,20180622,0.010265354451640729
116,20180625,0.0100130395093381
117,20180626,0.01064152137232013
118,20180627,0.010683519093575292
119,20180628,0.01092877227683217
120,20180629,0.010694297728004482
121,20180702,0.011699039980520954
122,20180703,0.01181846038740254
123,20180704,0.01180357824879605
124,20180705,0.011846707762193712
125,20180706,0.012140882716265834
126,20180709,0.01142730661806929
127,20180710,0.01206954307861174
128,20180711,0.012260163368615826
129,20180712,0.012243706280280906
130,20180713,0.011339157945148467
131,20180717,0.010829764719997062
132,20180718,0.010778401912177504
133,20180719,0.010028718524973822
134,20180720,0.009815674025158292
135,20180723,0.010719267045089936
136,20180724,0.010516080390978462
137,20180725,0.010416313994805323
138,20180726,0.01024324446034588
139,20180727,0.010129318082082638
140,20180730,0.010327272508625536
141,20180731,0.010264726141587197
142,20180801,0.010830525760211221
143,20180802,0.010863831754403896
144,20180803,0.0107787419614952
145,20180806,0.010331172399206274
146,20180807,0.010018083385705628
147,20180808,0.009767319338309722
148,20180809,0.009883278746104097
149,20180810,0.009303987841218556
150,20180813,0.011713370802870778
151,20180814,0.011759908207512222
152,20180815,0.011896198141838326
153,20180816,0.012091150423372889
154,20180817,0.012257365350037547
155,20180820,0.012208582455443939
156,20180821,0.01214225482712235
157,20180822,0.01199343254134392
158,20180823,0.012018620825266816
159,20180824,0.011504298450943768
160,20180827,0.011536439747641184
161,20180828,0.011768558220499905
162,20180829,0.011302946175806614
163,20180830,0.011355469639011897
164,20180831,0.012505495797049616
165,20180903,0.012677627001864927
166,20180904,0.012433314555780343
167,20180905,0.011526699957683267
168,20180906,0.011952762380450302
169,20180907,0.01211474767777795
170,20180910,0.012090461160734985
171,20180911,0.012219101292751916
172,20180912,0.012069257538575438
173,20180913,0.011942456874099533
174,20180914,0.01205844817650963
175,20180918,0.01230916863558162
176,20180919,0.012277275219907806
177,20180920,0.012547729491351294
178,20180921,0.012987464735812394
179,20180925,0.013180559861529658
180,20180926,0.013148462112205907
181,20180927,0.013197578902138669
182,20180928,0.010877939624883929
183,20181001,0.010632211806955467
184,20181002,0.010363432099286838
185,20181003,0.009665183512601892
186,20181004,0.00940627882535184
187,20181005,0.010273673136418339
188,20181009,0.012012118386419387
189,20181010,0.011794273954248242
190,20181011,0.01492089809779933
191,20181012,0.016815785224900376
192,20181015,0.01743037652675755
193,20181016,0.017253233585009665
194,20181017,0.018698677217977633
195,20181018,0.018656804682241814
